Source,Target,Type
81,43,Beginning note
81,44,Beginning note
81,47,Beginning note
81,84,Beginning note
81,82,Endnote
81,95,Endnote
81,101,Endnote
81,102,Endnote
81,45,Endnote
81,146,Endnote
81,148,Endnote
82,41,Beginning note
82,80,Beginning note
82,81,Beginning note
82,21,Endnote
82,95,Endnote
82,100,Endnote
82,158,Endnote
82,101,Endnote
82,102,Endnote
83,18,Beginning note
83,80,Beginning note
83,18,Beginning note
83,152,Endnote
83,183,Endnote
83,129,Endnote
83,147,Endnote
83,148,Endnote
83,151,Endnote
84,26,Beginning note
84,18,Beginning note
84,83,Beginning note
84,18,Endnote
84,72,Endnote
84,147,Endnote
84,157,Endnote
84,95,Endnote
85,86,Beginning note
85,18,Beginning note
85,100,Endnote
85,80,Endnote
85,60,Endnote
85,95,Endnote
85,165,Endnote
86,57,Beginning note
86,68,Beginning note
86,18,Beginning note
86,95,Endnote
86,101,Endnote
86,73,Endnote
86,79,Endnote
86,75,Endnote
86,129,Endnote
87,88,Beginning note
87,89,Beginning note
87,32,Beginning note
87,46,Beginning note
87,95,Endnote
87,165,Endnote
87,191,Endnote
87,197,Endnote
87,200,Endnote
88,14,Beginning note
88,30,Beginning note
88,61,Beginning note
88,165,Endnote
88,150,Endnote
88,251,Endnote
88,125,Endnote
88,243,Endnote
88,244,Endnote
88,95,Endnote
89,46,Beginning note
89,19,Beginning note
89,14,Beginning note
89,87,Endnote
89,191,Endnote
89,197,Endnote
89,200,Endnote
89,110,Endnote
89,165,Endnote
89,95,Endnote
90,15,Beginning note
90,31,Beginning note
90,33,Beginning note
90,179,Endnote
90,181,Endnote
90,190,Endnote
90,95,Endnote
91,10,Beginning note
91,30,Beginning note
91,31,Beginning note
91,33,Beginning note
91,41,Beginning note
91,129,Endnote
91,65,Endnote
91,90,Endnote
91,147,Endnote
91,94,Endnote
91,186,Endnote
91,95,Endnote
92,20,Beginning note
92,53,Endnote
92,69,Endnote
92,121,Endnote
92,150,Endnote
92,93,Endnote
92,241,Endnote
93,30,Beginning note
93,54,Beginning note
93,55,Beginning note
93,61,Beginning note
93,92,Beginning note
93,124,Endnote
93,244,Endnote
93,87,Endnote
94,34,Beginning note
94,61,Beginning note
94,69,Beginning note
94,88,Beginning note
94,100,Beginning note
94,101,Beginning note
94,150,Beginning note
94,160,Endnote
94,188,Endnote
94,241,Endnote
